"","nobs","nsim","th","zip1","poisson","log.linear","zip2","nb","hurdle"
"18",8200,3,-4,0.015374410466702,0.447061785400753,-0.775817675456644,0.0142231997377351,0.14964678658422,0.0162504013856122
"19",100,4,-4,0.0539172905277501,-0.693424241509357,-0.818898954540322,-0.0144283126662201,-0.149537307331291,-0.0223117953062824
"20",200,4,-4,0.0292628792665779,-0.823012555817117,-0.930872037597669,0.374174243813024,-0.660975879979702,0.300332632064964
"21",500,4,-4,-0.118316833435972,-0.644200582989412,-0.881134895293434,-0.168900157415828,-0.424043150351642,-0.188836625344398
"22",1100,4,-4,-0.0345087103467778,-0.105581986279554,-0.814583141648173,-0.0189423246509604,-0.0741330157525442,-0.00871890788005225
"23",3000,4,-4,0.00567279835517098,-0.0700951212359582,-0.804304966642407,0.000903835407812359,0.0126497051369867,-0.000154262161142116
"24",8200,4,-4,0.00479422934113716,-0.166742265470098,-0.796559571956798,0.00556428695915745,0.034490852346444,0.00517503691283316
"25",100,5,-4,-0.0147542609311055,0.632574278306938,-0.740264170033557,0.0628395241850943,0.159984032608707,0.15344793650015
"26",200,5,-4,0.177522632893885,-0.365786961474383,-0.858100411527724,0.169620889966775,-0.153629869238437,0.126393497506682
"27",500,5,-4,0.0305953695601913,-0.609136782487308,-0.798370504583605,-0.00241838514226056,0.115886035403125,-0.00484791613983915
"28",1100,5,-4,0.0479575565063293,-0.294220358991358,-0.860330788990713,0.0814505299602102,-0.163794005432502,0.0759492905215153
"29",3000,5,-4,-0.0333011127793923,-0.40654950594622,-0.809227922961329,-0.0356451755974954,-0.0475307567853667,-0.0339283638136281
"30",8200,5,-4,-0.0121811567043655,0.517666811144642,-0.797654000974083,-0.0125088133334992,-0.00115595074100217,-0.0127537590361728
"31",100,6,-4,-0.725397671191945,-2.1836025993603,-1.01774360216028,0.529041089075668,-2.18903223624464,3.69984548420413
"32",200,6,-4,0.0297762491480031,-0.330223238346256,-0.827271279623367,0.0488243084774673,-0.0141425984452614,0.0461491090074793
"33",500,6,-4,-0.0467549856825515,0.587099806533284,-0.830034818075509,-0.0315393223718634,-0.055148461907605,-0.0309697587817976
"34",1100,6,-4,-0.0196847644818574,-0.128132908901453,-0.764675676273836,-0.0329760008611335,0.0738862881539344,-0.031710733526866
"35",3000,6,-4,0.0282017485166892,-0.207902087056326,-0.814244617777517,0.0322975970395158,-0.0254506736484903,0.0262882765158117
"36",8200,6,-4,0.00213054427693482,-0.220491689996047,-0.816622348001156,0.00768856951895858,-0.0519108700905153,0.00857870456463372
"37",100,7,-4,0.091523008244955,-0.330631358617771,-0.714618747693976,0.149214950968368,-0.0899813991947767,0.151466992281184
"38",200,7,-4,0.24904954871553,-0.752669179454801,-0.898432298245581,0.337516417631992,-0.448802191469263,0.289587182684841
"39",500,7,-4,0.050730853751654,-0.277982611316095,-0.831971060233923,0.0586809009239304,-0.036198506763097,0.0588817192491766
"40",1100,7,-4,0.0516656900058083,-0.702984506952836,-0.80221765845648,0.0717800127370891,-0.114632732329964,0.0597756675715018
"41",3000,7,-4,-0.00156152888317118,-0.351733357971728,-0.841852714449316,0.00691959314609214,-0.186689598853228,0.000146910604471362
"42",8200,7,-4,0.00251751108838416,0.0770343378983447,-0.812349672805253,0.00821486595416587,-0.0181356284749803,0.00888969651232019
"43",100,8,-4,0.0906484400243643,-0.210949276436241,-0.739329381854372,-0.218872619349553,0.4868761214953,-0.196694397150759
"44",200,8,-4,0.00714469830475695,-0.279678605670812,-0.815122002190185,0.0623626312926926,-0.0672301438131035,0.103683936059242
"45",500,8,-4,0.035835202956136,-0.354266853529554,-0.812360287889393,0.0200981683769728,0.0957349589464926,0.0174503411175611
